传说公益,#genre#
中国人,http://song.mvbox.cn/mv/04/90505704-3.mp4
24.8.29更新??,#genre#
本接口一直免费,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
如遇收费倒卖,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
请退款差评,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
防失联Q群↓↓,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
695912077,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129.m3u8

移动央卫,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CGTN,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN-阿拉伯语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CGTN-俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN-法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN-记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN-西班牙语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8

央视节目,#genre#
CCTV1,http://114.246.182.194:4022/udp/239.3.1.129:8008
CCTV1,http://123.115.117.113:9000/udp/239.3.1.129:8008
CCTV1,http://114.254.189.28:9999/udp/239.3.1.129:8008
CCTV2,http://114.254.189.28:9999/udp/239.3.1.60:8084
CCTV2,http://114.246.182.194:4022/udp/239.3.1.60:8084
CCTV2,http://123.115.117.113:9000/udp/239.3.1.60:8084
CCTV3,http://114.254.189.28:9999/udp/239.3.1.172:8001
CCTV3,http://123.115.117.113:9000/udp/239.3.1.172:8001
CCTV3,http://114.246.182.194:4022/udp/239.3.1.172:8001
CCTV4,http://114.254.189.28:9999/udp/239.3.1.105:8092
CCTV4,http://123.115.117.113:9000/udp/239.3.1.214:4220
CCTV4,http://123.115.117.113:9000/udp/239.3.1.105:8092
CCTV4,http://114.246.182.194:4022/udp/239.3.1.213:4220
CCTV4,http://114.246.182.194:4022/udp/239.3.1.105:8092
CCTV4,http://114.254.189.28:9999/udp/239.3.1.214:4220
CCTV4,http://114.254.189.28:9999/udp/239.3.1.213:4220
CCTV4,http://114.246.182.194:4022/udp/239.3.1.214:4220
CCTV4,http://123.115.117.113:9000/udp/239.3.1.213:4220
CCTV5+,http://123.115.117.113:9000/udp/239.3.1.130:8004
CCTV5,http://123.115.117.113:9000/udp/239.3.1.173:8001
CCTV5+,http://114.254.189.28:9999/udp/239.3.1.130:8004
CCTV5+,http://114.246.182.194:4022/udp/239.3.1.130:8004
CCTV5,http://114.246.182.194:4022/udp/239.3.1.173:8001
CCTV5,http://114.254.189.28:9999/udp/239.3.1.173:8001
CCTV6,http://123.115.117.113:9000/udp/239.3.1.174:8001
CCTV6,http://114.254.189.28:9999/udp/239.3.1.174:8001
CCTV6,http://114.246.182.194:4022/udp/239.3.1.174:8001
CCTV7,http://114.246.182.194:4022/udp/239.3.1.61:8104
CCTV7,http://114.254.189.28:9999/udp/239.3.1.61:8104
CCTV7,http://123.115.117.113:9000/udp/239.3.1.61:8104
CCTV8,http://114.246.182.194:4022/udp/239.3.1.175:8001
CCTV8,http://123.115.117.113:9000/udp/239.3.1.175:8001
CCTV8,http://114.254.189.28:9999/udp/239.3.1.175:8001
CCTV9,http://123.115.117.113:9000/udp/239.3.1.62:8112
CCTV9,http://114.246.182.194:4022/udp/239.3.1.62:8112
CCTV9,http://114.254.189.28:9999/udp/239.3.1.62:8112
CCTV10,http://114.254.189.28:9999/udp/239.3.1.63:8116
CCTV10,http://114.246.182.194:4022/udp/239.3.1.63:8116
CCTV10,http://123.115.117.113:9000/udp/239.3.1.63:8116
CCTV11,http://114.254.189.28:9999/udp/239.3.1.152:8120
CCTV11,http://114.246.182.194:4022/udp/239.3.1.152:8120
CCTV11,http://123.115.117.113:9000/udp/239.3.1.152:8120
CCTV12,http://123.115.117.113:9000/udp/239.3.1.64:8124
CCTV12,http://114.254.189.28:9999/udp/239.3.1.64:8124
CCTV12,http://114.246.182.194:4022/udp/239.3.1.64:8124
CCTV13,http://114.246.182.194:4022/udp/239.3.1.124:8128
CCTV13,http://123.115.117.113:9000/udp/239.3.1.124:8128
CCTV13,http://114.254.189.28:9999/udp/239.3.1.124:8128
CCTV14,http://123.115.117.113:9000/udp/239.3.1.65:8132
CCTV14,http://114.254.189.28:9999/udp/239.3.1.65:8132
CCTV14,http://114.246.182.194:4022/udp/239.3.1.65:8132
CCTV15,http://114.246.182.194:4022/udp/239.3.1.153:8136
CCTV15,http://123.115.117.113:9000/udp/239.3.1.153:8136
CCTV15,http://114.254.189.28:9999/udp/239.3.1.153:8136
CCTV16,http://123.115.117.113:9000/udp/239.3.1.184:8001
CCTV16,http://114.254.189.28:9999/udp/239.3.1.184:8001
CCTV16,http://114.246.182.194:4022/udp/239.3.1.183:8001
CCTV16,http://114.254.189.28:9999/udp/239.3.1.183:8001
CCTV16,http://114.246.182.194:4022/udp/239.3.1.184:8001
CCTV16,http://123.115.117.113:9000/udp/239.3.1.183:8001
CCTV17,http://123.115.117.113:9000/udp/239.3.1.151:8144
CCTV17,http://114.246.182.194:4022/udp/239.3.1.151:8144
CCTV17,http://114.254.189.28:9999/udp/239.3.1.151:8144
CETV1,http://123.115.117.113:9000/udp/239.3.1.57:8152
CETV1,http://114.246.182.194:4022/udp/239.3.1.57:8152
CETV1,http://114.254.189.28:9999/udp/239.3.1.57:8152
CETV2,http://123.115.117.113:9000/udp/239.3.1.54:4120
CETV2,http://114.254.189.28:9999/udp/239.3.1.54:4120
CETV2,http://114.246.182.194:4022/udp/239.3.1.54:4120
CETV3,http://123.115.117.113:9000/udp/239.3.1.55:4120
CETV3,http://114.254.189.28:9999/udp/239.3.1.55:4120
CETV3,http://114.246.182.194:4022/udp/239.3.1.55:4120
CETV4,http://114.246.182.194:4022/udp/239.3.1.56:4120
CETV4,http://114.254.189.28:9999/udp/239.3.1.56:4120
CETV4,http://123.115.117.113:9000/udp/239.3.1.56:4120
卫视节目,#genre#
BRTV北京卫视,http://114.254.189.28:9999/udp/239.3.1.241:8000
BRTV北京卫视,http://123.115.117.113:9000/udp/239.3.1.241:8000
BRTV北京卫视,http://114.246.182.194:4022/udp/239.3.1.241:8000
三沙卫视,http://114.254.189.28:9999/udp/239.3.1.155:4120
三沙卫视,http://123.115.117.113:9000/udp/239.3.1.155:4120
三沙卫视,http://114.246.182.194:4022/udp/239.3.1.155:4120
东南卫视,http://114.254.189.28:9999/udp/239.3.1.156:8148
东南卫视,http://123.115.117.113:9000/udp/239.3.1.156:8148
东南卫视,http://114.246.182.194:4022/udp/239.3.1.156:8148
东方卫视,http://114.254.189.28:9999/udp/239.3.1.136:8032
东方卫视,http://123.115.117.113:9000/udp/239.3.1.136:8032
东方卫视,http://114.246.182.194:4022/udp/239.3.1.136:8032
云南卫视,http://114.254.189.28:9999/udp/239.3.1.26:8108
云南卫视,http://123.115.117.113:9000/udp/239.3.1.26:8108
云南卫视,http://114.246.182.194:4022/udp/239.3.1.26:8108
兵团卫视,http://114.254.189.28:9999/udp/239.3.1.144:4120
兵团卫视,http://123.115.117.113:9000/udp/239.3.1.144:4120
兵团卫视,http://114.246.182.194:4022/udp/239.3.1.144:4120
内蒙古卫视,http://114.254.189.28:9999/udp/239.3.1.43:8176
内蒙古卫视,http://123.115.117.113:9000/udp/239.3.1.43:8176
内蒙古卫视,http://114.246.182.194:4022/udp/239.3.1.43:8176
南方卫视,http://114.254.189.28:9999/udp/239.3.1.161:8001
南方卫视,http://123.115.117.113:9000/udp/239.3.1.161:8001
南方卫视,http://114.246.182.194:4022/udp/239.3.1.161:8001
厦门卫视,http://114.254.189.28:9999/udp/239.3.1.143:4120
厦门卫视,http://123.115.117.113:9000/udp/239.3.1.143:4120
厦门卫视,http://114.246.182.194:4022/udp/239.3.1.143:4120
吉林卫视,http://114.254.189.28:9999/udp/239.3.1.240:8172
吉林卫视,http://123.115.117.113:9000/udp/239.3.1.240:8172
吉林卫视,http://114.246.182.194:4022/udp/239.3.1.240:8172
四川卫视,http://114.254.189.28:9999/udp/239.3.1.29:8288
四川卫视,http://123.115.117.113:9000/udp/239.3.1.29:8288
四川卫视,http://114.246.182.194:4022/udp/239.3.1.29:8288
天津卫视,http://114.254.189.28:9999/udp/239.3.1.141:1234
天津卫视,http://123.115.117.113:9000/udp/239.3.1.141:1234
天津卫视,http://114.246.182.194:4022/udp/239.3.1.141:1234
宁夏卫视,http://114.254.189.28:9999/udp/239.3.1.46:8124
宁夏卫视,http://123.115.117.113:9000/udp/239.3.1.46:8124
宁夏卫视,http://114.246.182.194:4022/udp/239.3.1.46:8124
安徽卫视,http://114.254.189.28:9999/udp/239.3.1.211:8064
安徽卫视,http://123.115.117.113:9000/udp/239.3.1.211:8064
安徽卫视,http://114.246.182.194:4022/udp/239.3.1.211:8064
山东卫视,http://114.254.189.28:9999/udp/239.3.1.209:8052
山东卫视,http://123.115.117.113:9000/udp/239.3.1.209:8052
山东卫视,http://114.246.182.194:4022/udp/239.3.1.209:8052
山西卫视,http://114.254.189.28:9999/udp/239.3.1.42:8172
山西卫视,http://123.115.117.113:9000/udp/239.3.1.42:8172
山西卫视,http://114.246.182.194:4022/udp/239.3.1.42:8172
广东卫视,http://114.254.189.28:9999/udp/239.3.1.142:8048
广东卫视,http://123.115.117.113:9000/udp/239.3.1.142:8048
广东卫视,http://114.246.182.194:4022/udp/239.3.1.142:8048
广西卫视,http://114.254.189.28:9999/udp/239.3.1.39:8300
广西卫视,http://123.115.117.113:9000/udp/239.3.1.39:8300
广西卫视,http://114.246.182.194:4022/udp/239.3.1.39:8300
新疆卫视,http://114.254.189.28:9999/udp/239.3.1.48:8160
新疆卫视,http://123.115.117.113:9000/udp/239.3.1.48:8160
新疆卫视,http://114.246.182.194:4022/udp/239.3.1.48:8160
江苏卫视,http://114.254.189.28:9999/udp/239.3.1.135:8028
江苏卫视,http://123.115.117.113:9000/udp/239.3.1.135:8028
江苏卫视,http://114.246.182.194:4022/udp/239.3.1.135:8028
江西卫视,http://114.254.189.28:9999/udp/239.3.1.123:8164
江西卫视,http://123.115.117.113:9000/udp/239.3.1.123:8164
江西卫视,http://114.246.182.194:4022/udp/239.3.1.123:8164
河北卫视,http://114.254.189.28:9999/udp/239.3.1.148:8072
河北卫视,http://123.115.117.113:9000/udp/239.3.1.148:8072
河北卫视,http://114.246.182.194:4022/udp/239.3.1.148:8072
河南卫视,http://114.254.189.28:9999/udp/239.3.1.27:8128
河南卫视,http://123.115.117.113:9000/udp/239.3.1.27:8128
河南卫视,http://114.246.182.194:4022/udp/239.3.1.27:8128
浙江卫视,http://114.254.189.28:9999/udp/239.3.1.137:8036
浙江卫视,http://123.115.117.113:9000/udp/239.3.1.137:8036
浙江卫视,http://114.246.182.194:4022/udp/239.3.1.137:8036
海南卫视,http://114.254.189.28:9999/udp/239.3.1.45:8304
海南卫视,http://123.115.117.113:9000/udp/239.3.1.45:8304
海南卫视,http://114.246.182.194:4022/udp/239.3.1.45:8304
深圳卫视,http://114.254.189.28:9999/udp/239.3.1.134:8020
深圳卫视,http://123.115.117.113:9000/udp/239.3.1.134:8020
深圳卫视,http://114.246.182.194:4022/udp/239.3.1.134:8020
湖北卫视,http://114.254.189.28:9999/udp/239.3.1.138:8044
湖北卫视,http://123.115.117.113:9000/udp/239.3.1.138:8044
湖北卫视,http://114.246.182.194:4022/udp/239.3.1.138:8044
湖南卫视,http://114.254.189.28:9999/udp/239.3.1.132:8012
湖南卫视,http://123.115.117.113:9000/udp/239.3.1.132:8012
湖南卫视,http://114.246.182.194:4022/udp/239.3.1.132:8012
甘肃卫视,http://114.254.189.28:9999/udp/239.3.1.49:8188
甘肃卫视,http://123.115.117.113:9000/udp/239.3.1.49:8188
甘肃卫视,http://114.246.182.194:4022/udp/239.3.1.49:8188
西藏卫视,http://114.254.189.28:9999/udp/239.3.1.47:8164
西藏卫视,http://123.115.117.113:9000/udp/239.3.1.47:8164
西藏卫视,http://114.246.182.194:4022/udp/239.3.1.47:8164
贵州卫视,http://114.254.189.28:9999/udp/239.3.1.149:8076
贵州卫视,http://123.115.117.113:9000/udp/239.3.1.149:8076
贵州卫视,http://114.246.182.194:4022/udp/239.3.1.149:8076
辽宁卫视,http://114.254.189.28:9999/udp/239.3.1.210:8056
辽宁卫视,http://123.115.117.113:9000/udp/239.3.1.210:8056
辽宁卫视,http://114.246.182.194:4022/udp/239.3.1.210:8056
重庆卫视,http://114.254.189.28:9999/udp/239.3.1.122:8160
重庆卫视,http://123.115.117.113:9000/udp/239.3.1.122:8160
重庆卫视,http://114.246.182.194:4022/udp/239.3.1.122:8160
陕西卫视,http://114.254.189.28:9999/udp/239.3.1.41:8140
陕西卫视,http://123.115.117.113:9000/udp/239.3.1.41:8140
陕西卫视,http://114.246.182.194:4022/udp/239.3.1.41:8140
青海卫视,http://114.254.189.28:9999/udp/239.3.1.44:8184
青海卫视,http://123.115.117.113:9000/udp/239.3.1.44:8184
青海卫视,http://114.246.182.194:4022/udp/239.3.1.44:8184
黑龙江卫视,http://114.254.189.28:9999/udp/239.3.1.133:8016
黑龙江卫视,http://123.115.117.113:9000/udp/239.3.1.133:8016
黑龙江卫视,http://114.246.182.194:4022/udp/239.3.1.133:8016
地方节目,#genre#
4K,http://123.115.117.113:9000/udp/239.3.1.249:8001
4K,http://114.246.182.194:4022/udp/239.3.1.249:8001
4K,http://114.254.189.28:9999/udp/239.3.1.249:8001
BRTV体育休闲,http://114.254.189.28:9999/udp/239.3.1.243:8000
BRTV体育休闲,http://123.115.117.113:9000/udp/239.3.1.243:8000
BRTV体育休闲,http://114.246.182.194:4022/udp/239.3.1.243:8000
BRTV冬奥纪实[R],http://114.254.189.28:9999/udp/239.3.1.120:8000
BRTV冬奥纪实[R],http://123.115.117.113:9000/udp/239.3.1.120:8000
BRTV冬奥纪实[R],http://114.246.182.194:4022/udp/239.3.1.120:8000
BRTV冬奥纪实,http://114.254.189.28:9999/udp/239.3.1.121:8000
BRTV冬奥纪实,http://114.254.189.28:9999/udp/239.3.1.243:8000
BRTV冬奥纪实,http://123.115.117.113:9000/udp/239.3.1.121:8000
BRTV冬奥纪实,http://123.115.117.113:9000/udp/239.3.1.243:8000
BRTV冬奥纪实,http://114.246.182.194:4022/udp/239.3.1.243:8000
BRTV冬奥纪实,http://114.246.182.194:4022/udp/239.3.1.121:8000
BRTV卡酷少儿,http://114.254.189.28:9999/udp/239.3.1.189:8000
BRTV卡酷少儿,http://123.115.117.113:9000/udp/239.3.1.189:8000
BRTV卡酷少儿,http://114.246.182.194:4022/udp/239.3.1.189:8000
BRTV影视,http://114.254.189.28:9999/udp/239.3.1.158:8000
BRTV影视,http://123.115.117.113:9000/udp/239.3.1.158:8000
BRTV影视,http://114.246.182.194:4022/udp/239.3.1.158:8000
BRTV文艺,http://114.254.189.28:9999/udp/239.3.1.242:8000
BRTV文艺,http://123.115.117.113:9000/udp/239.3.1.242:8000
BRTV文艺,http://114.246.182.194:4022/udp/239.3.1.242:8000
BRTV新闻,http://114.254.189.28:9999/udp/239.3.1.159:8000
BRTV新闻,http://123.115.117.113:9000/udp/239.3.1.159:8000
BRTV新闻,http://114.246.182.194:4022/udp/239.3.1.159:8000
BRTV生活,http://114.254.189.28:9999/udp/239.3.1.117:8000
BRTV生活,http://123.115.117.113:9000/udp/239.3.1.117:8000
BRTV生活,http://114.246.182.194:4022/udp/239.3.1.117:8000
BRTV纪实科教,http://114.254.189.28:9999/udp/239.3.1.115:8000
BRTV纪实科教,http://123.115.117.113:9000/udp/239.3.1.115:8000
BRTV纪实科教,http://114.246.182.194:4022/udp/239.3.1.115:8000
BRTV财经,http://114.254.189.28:9999/udp/239.3.1.116:8000
BRTV财经,http://123.115.117.113:9000/udp/239.3.1.116:8000
BRTV财经,http://114.246.182.194:4022/udp/239.3.1.116:8000
BRTV青年,http://114.254.189.28:9999/udp/239.3.1.118:8000
BRTV青年,http://123.115.117.113:9000/udp/239.3.1.118:8000
BRTV青年,http://114.246.182.194:4022/udp/239.3.1.118:8000
BTV国际频道,http://114.254.189.28:9999/udp/239.3.1.235:8000
BTV国际频道,http://123.115.117.113:9000/udp/239.3.1.235:8000
BTV国际频道,http://114.246.182.194:4022/udp/239.3.1.235:8000
CGTN俄语,http://114.254.189.28:9999/udp/239.3.1.220:4220
CGTN俄语,http://123.115.117.113:9000/udp/239.3.1.220:4220
CGTN俄语,http://114.246.182.194:4022/udp/239.3.1.220:4220
CGTN新闻,http://114.254.189.28:9999/udp/239.3.1.215:4220
CGTN新闻,http://123.115.117.113:9000/udp/239.3.1.215:4220
CGTN新闻,http://114.246.182.194:4022/udp/239.3.1.215:4220
CGTN法语,http://114.254.189.28:9999/udp/239.3.1.218:4220
CGTN法语,http://123.115.117.113:9000/udp/239.3.1.218:4220
CGTN法语,http://114.246.182.194:4022/udp/239.3.1.218:4220
CGTN西班牙语,http://114.254.189.28:9999/udp/239.3.1.217:4220
CGTN西班牙语,http://123.115.117.113:9000/udp/239.3.1.217:4220
CGTN西班牙语,http://114.246.182.194:4022/udp/239.3.1.217:4220
CGTN记录,http://114.254.189.28:9999/udp/239.3.1.216:4220
CGTN记录,http://123.115.117.113:9000/udp/239.3.1.216:4220
CGTN记录,http://114.246.182.194:4022/udp/239.3.1.216:4220
CGTN阿拉伯语,http://114.254.189.28:9999/udp/239.3.1.219:4220
CGTN阿拉伯语,http://123.115.117.113:9000/udp/239.3.1.219:4220
CGTN阿拉伯语,http://114.246.182.194:4022/udp/239.3.1.219:4220
中国交通,http://114.254.189.28:9999/udp/239.3.1.188:8001
中国交通,http://123.115.117.113:9000/udp/239.3.1.188:8001
中国交通,http://114.246.182.194:4022/udp/239.3.1.188:8001
体育赛事,http://114.254.189.28:9999/udp/239.3.1.157:8176
体育赛事,http://123.115.117.113:9000/udp/239.3.1.157:8176
体育赛事,http://114.246.182.194:4022/udp/239.3.1.157:8176
光影,http://114.254.189.28:9999/udp/239.3.1.84:4120
光影,http://123.115.117.113:9000/udp/239.3.1.84:4120
光影,http://114.246.182.194:4022/udp/239.3.1.84:4120
